,features,label
144,"[6.0,735907.0,735910.0,3.0,56.0]",1.0
145,"[3.0,735872.0,735905.0,33.0,48.0]",2.0
146,"[6.0,735920.0,735924.0,4.0,50.0]",1.0
147,"[2.0,735885.0,735887.0,2.0,21.0]",2.0
148,"[3.0,735884.0,735891.0,7.0,33.0]",1.0
149,"[5.0,735919.0,735925.0,6.0,36.0]",2.0
150,"[1.0,735876.0,735907.0,31.0,67.0]",1.0
151,"[1.0,735887.0,735907.0,20.0,58.0]",1.0
152,"[5.0,735961.0,735974.0,13.0,27.0]",2.0
153,"[3.0,735802.0,735814.0,12.0,63.0]",1.0
154,"[1.0,735955.0,735970.0,15.0,14.0]",2.0
155,"[1.0,735954.0,735970.0,16.0,14.0]",2.0
156,"[6.0,735880.0,735889.0,9.0,148.0]",1.0
157,"[3.0,735882.0,735884.0,2.0,21.0]",2.0
158,"[2.0,735861.0,735873.0,12.0,62.0]",2.0
159,"[5.0,735855.0,735876.0,21.0,9.0]",2.0
160,"[4.0,735918.0,735937.0,19.0,20.0]",3.0
161,"[2.0,735865.0,735873.0,8.0,39.0]",2.0
162,"[4.0,735801.0,735818.0,17.0,60.0]",2.0
163,"[2.0,735849.0,735873.0,24.0,76.0]",1.0
164,"[2.0,735931.0,735936.0,5.0,76.0]",2.0
165,"[5.0,735953.0,735981.0,28.0,34.0]",3.0
166,"[0.0,735802.0,735829.0,27.0,2.0]",2.0
167,"[4.0,735847.0,735874.0,27.0,33.0]",0.0
168,"[1.0,735903.0,735928.0,25.0,1.0]",1.0
169,"[3.0,735866.0,735898.0,32.0,25.0]",2.0
170,"[2.0,735910.0,735943.0,33.0,59.0]",1.0
171,"[1.0,735807.0,735823.0,16.0,4.0]",1.0
172,"[0.0,735891.0,735906.0,15.0,42.0]",0.0
173,"[2.0,735896.0,735922.0,26.0,25.0]",1.0
174,"[6.0,735875.0,735903.0,28.0,42.0]",0.0
175,"[1.0,735878.0,735893.0,15.0,90.0]",0.0
176,"[4.0,735918.0,735944.0,26.0,86.0]",1.0
177,"[2.0,735820.0,735838.0,18.0,13.0]",0.0
178,"[5.0,735875.0,735890.0,15.0,26.0]",2.0
179,"[0.0,735819.0,735829.0,10.0,1.0]",2.0
180,"[6.0,735881.0,735910.0,29.0,10.0]",2.0
181,"[2.0,735802.0,735810.0,8.0,41.0]",0.0
182,"[0.0,735918.0,735920.0,2.0,30.0]",2.0
183,"[4.0,735951.0,735965.0,14.0,32.0]",1.0
184,"[6.0,735796.0,735798.0,2.0,142.0]",1.0
185,"[5.0,735849.0,735855.0,6.0,3.0]",2.0
186,"[1.0,735909.0,735928.0,19.0,4.0]",2.0
187,"[3.0,735803.0,735814.0,11.0,36.0]",3.0
188,"[1.0,735877.0,735907.0,30.0,296.0]",0.0
189,"[3.0,735805.0,735814.0,9.0,185.0]",0.0
190,"[1.0,735954.0,735963.0,9.0,33.0]",2.0
191,"[4.0,735923.0,735930.0,7.0,28.0]",1.0
192,"[1.0,735816.0,735823.0,7.0,3.0]",3.0
